date,price,Qty.
2023/08/25,41.05,3562390
2023/08/28,41.35,3037191
2023/08/29,42.25,4640152
2023/08/30,42.4,5330607
2023/08/31,42.75,6407927
2023/09/04,41.95,6804713
2023/09/05,41.6,4088623
2023/09/06,41.8,4731428
2023/09/07,41.35,3269755
2023/09/11,41.55,4125807
2023/09/12,41.2,2328888
2023/09/13,41.2,5906678
2023/09/14,41.5,4282586
2023/09/15,41.95,7963685
2023/09/18,41.35,2452774
2023/09/19,41.45,2980610
2023/09/20,41.55,4168279
2023/09/21,41.15,3442255
2023/09/22,41.9,4968535
2023/09/25,41.3,2919253
2023/09/26,40.85,4188987
2023/09/27,41.5,4296417
2023/09/28,40.75,4431557
2023/09/29,41.9,5146569
2023/10/03,40.35,5570277
2023/10/04,40.3,4066476
2023/10/05,40.5,2585030
2023/10/06,40.95,2529757
2023/10/09,40.8,1466782
2023/10/10,41.05,2001603
2023/10/11,41.25,3890537
2023/10/12,41.7,3019569
2023/10/13,40.8,3940089
2023/10/16,40.55,2133164
2023/10/17,40.75,3305807
2023/10/18,40.9,2217426
2023/10/19,39.9,3001708
2023/10/20,39.7,5228563
2023/10/24,39.3,4664668
2023/10/25,39.25,4467105
2023/10/26,38.9,6598152
2023/10/27,39.65,3626479
2023/10/30,39.85,2628821
2023/10/31,39.55,4675179
2023/11/01,39.55,2940748
2023/11/02,40.3,3477770
2023/11/03,40.85,3547342
2023/11/06,41.05,3079764
2023/11/07,39.5,4878863
2023/11/08,39.25,6531590
2023/11/09,39.2,3980491
2023/11/10,38.8,2729010
2023/11/13,39.15,3284989
2023/11/14,39.6,4001533
2023/11/15,40.85,7435220
2023/11/16,40.3,4413516
2023/11/17,40.2,4958511
2023/11/20,40.55,3086044
2023/11/21,40.65,3618703
2023/11/22,40.75,2708934
2023/11/23,41.05,2901344
2023/11/24,40.3,2258744
2023/11/27,40.15,3991360
2023/11/28,39.85,5374100
2023/11/29,39.15,6262946
2023/11/30,39.15,9697223
2023/12/01,39.6,6795002
2023/12/04,39.65,4689060
2023/12/05,39.65,4929840
2023/12/06,40.2,3913328
2023/12/07,39.9,4782435
2023/12/08,40.2,5275343
2023/12/11,39.45,3973078
2023/12/12,39.6,5383785
2023/12/13,39.45,3389452
2023/12/14,40.05,9576558
2023/12/15,41.3,10736226
2023/12/18,41.25,4587530
2023/12/19,40.95,2516416
2023/12/20,40.7,5578259
2023/12/21,40.65,3614332
2023/12/22,40.9,8672294
2023/12/27,41.4,3490696
2023/12/28,41.95,4218901
2023/12/29,41.85,2945007
2024/01/02,41.25,2782895
2024/01/03,41.35,3498817
2024/01/04,41.0,2800255
2024/01/05,40.8,2731319
2024/01/08,40.65,3271763
2024/01/09,41.05,3236814
2024/01/10,40.8,2636087
2024/01/11,40.95,3323674
2024/01/12,40.65,2901998
2024/01/15,41.05,2280159
2024/01/16,40.2,3516234
2024/01/17,38.6,9864844
2024/01/18,39.1,5674020
2024/01/19,38.85,4252461
2024/01/22,38.15,5045299
2024/01/23,38.7,5355499
2024/01/24,39.6,6711430
2024/01/25,40.2,6130296
2024/01/26,40.2,3719340
2024/01/29,41.35,6489141
2024/01/30,40.6,5352638
2024/01/31,40.4,5551652
2024/02/01,40.45,2980145
2024/02/02,40.65,3553665
2024/02/05,40.55,4096607
2024/02/06,41.4,6370459
2024/02/07,41.65,5102272
2024/02/08,41.05,4613776
2024/02/09,40.85,2537167
2024/02/14,41.15,3967567
2024/02/15,41.15,3009336
2024/02/16,42.4,8399523
2024/02/19,41.7,3475773
2024/02/20,42.15,3211948
2024/02/21,42.6,10071845
2024/02/22,42.6,4253901
2024/02/23,42.2,5481467
2024/02/26,41.7,4058902
2024/02/27,41.05,7618336
2024/02/28,40.5,7230120
2024/02/29,39.75,11005855
2024/03/01,39.5,6457452
2024/03/04,39.6,6173712
2024/03/05,39.25,6607871
2024/03/06,39.8,5103620
2024/03/07,40.15,4694131
2024/03/08,40.5,6001907
2024/03/11,40.85,5526549
2024/03/12,41.55,6077956
2024/03/13,41.55,4384422
2024/03/14,41.6,5324345
2024/03/15,41.05,9105178
2024/03/18,40.65,5091352
2024/03/19,40.4,4129836
2024/03/20,39.9,5054603
2024/03/21,40.4,7229497
2024/03/22,39.35,14364623
2024/03/25,38.65,9016150
2024/03/26,38.1,10197346
2024/03/27,37.7,10133642
2024/03/28,37.8,7827990
2024/04/02,39.15,8976759
2024/04/03,38.9,6619947
2024/04/05,38.25,7577520
2024/04/08,38.35,6429740
2024/04/09,38.35,4857551
2024/04/10,38.4,6973424
2024/04/11,37.85,6793305
2024/04/12,37.25,10005131
2024/04/15,36.7,5727296
2024/04/16,35.8,8563683
2024/04/17,35.6,5975767
2024/04/18,35.75,6452114
2024/04/19,35.85,5806276
2024/04/22,36.6,5151447
2024/04/23,37.0,4499892
2024/04/24,37.8,6223244
2024/04/25,38.2,6181488
2024/04/26,38.25,8216508
2024/04/29,38.65,8273310
2024/04/30,38.25,6920310
2024/05/02,39.4,6559385
2024/05/03,39.3,5469446
2024/05/06,39.2,6108176
2024/05/07,39.6,5061995
2024/05/08,39.05,6024128
2024/05/09,39.6,5436024
2024/05/10,41.15,13358106
2024/05/13,41.95,7186398
2024/05/14,41.45,9126910
2024/05/16,41.8,8831021
2024/05/17,42.25,6250786
2024/05/20,42.45,5421359
2024/05/21,42.0,6763048
2024/05/22,42.05,4183203
2024/05/23,41.6,3969145
2024/05/24,41.25,5482993
2024/05/27,41.45,4102000
2024/05/28,40.0,5941043
2024/05/29,39.2,5875339
2024/05/30,38.05,8463563
2024/05/31,38.1,9364509
2024/06/03,38.55,4002702
2024/06/04,38.7,5064282
2024/06/05,39.2,6420862
2024/06/06,38.85,3486843
2024/06/07,38.65,4690340
2024/06/11,37.95,7543740
2024/06/12,37.5,5598031
2024/06/13,37.35,4878562
2024/06/14,36.85,7887589
2024/06/17,36.6,5120901
2024/06/18,37.0,6843951
2024/06/19,37.7,3505285
2024/06/20,37.25,4108310
2024/06/21,36.55,8104883
2024/06/24,36.75,5067313
2024/06/25,36.55,8436800
2024/06/26,37.4,8750948
2024/06/27,36.85,4715506
2024/06/28,37.4,6285394
2024/07/02,38.05,9007135
2024/07/03,37.95,7033559
2024/07/04,37.9,5886995
2024/07/05,37.45,5160734
2024/07/08,37.1,4752010
2024/07/09,37.15,4648433
2024/07/10,36.95,5011938
2024/07/11,38.7,7358913
2024/07/12,40.8,12222351
2024/07/15,40.15,6755790
2024/07/16,39.95,3978223
2024/07/17,40.5,4151953
2024/07/18,40.85,5498408
2024/07/19,40.9,6472800
2024/07/22,40.95,2799284
2024/07/23,41.05,5095790
2024/07/24,40.95,2769758
2024/07/25,40.05,7128953
2024/07/26,40.45,2822312
2024/07/29,41.45,5169955
2024/07/30,40.8,7477213
2024/07/31,41.0,5793526
2024/08/01,41.2,5173665
2024/08/02,40.1,4908487
2024/08/05,39.8,6638171
2024/08/06,39.3,6712302
2024/08/07,40.05,4383216
2024/08/08,39.85,3623466
2024/08/09,40.35,3677533
2024/08/12,40.4,3291266
2024/08/13,40.7,4183094
2024/08/14,41.3,4592719
2024/08/15,40.85,4368165
2024/08/16,39.35,18291765
2024/08/19,41.15,9761895
2024/08/20,41.25,5287585
2024/08/21,40.6,5407400
2024/08/22,41.45,7029823
2024/08/23,41.35,3661607
2024/08/26,42.3,7131348
2024/08/27,42.95,5999117
2024/08/28,43.0,7855194
2024/08/29,43.05,5486288
2024/08/30,43.05,15541043
2024/09/02,42.75,7022165
2024/09/03,42.35,3302123
2024/09/04,42.0,4241733
2024/09/05,42.7,10407713
2024/09/09,42.5,11345009
2024/09/10,42.0,6432564
2024/09/11,41.6,7061890
2024/09/12,41.85,5259738
2024/09/13,41.55,4198176
2024/09/16,41.9,1890952
2024/09/17,42.85,8441919
2024/09/19,42.9,8541801
2024/09/20,44.0,13262051
2024/09/23,43.75,5991407
2024/09/24,44.05,10731089
2024/09/25,44.6,9300292
2024/09/26,44.1,15033981
2024/09/27,44.85,18461846
2024/09/30,44.7,19063721
2024/10/02,45.2,14399572
2024/10/03,44.85,11101599
2024/10/04,45.35,8507532
2024/10/07,45.75,7360610
2024/10/08,43.6,15539824
2024/10/09,43.05,12489114
2024/10/10,43.75,9290922
2024/10/14,42.95,8126971
2024/10/15,42.0,11843078
2024/10/16,41.7,7448185
2024/10/17,41.35,8175256
2024/10/18,42.0,6515466
2024/10/21,41.85,5642495
2024/10/22,42.0,5526527
2024/10/23,41.9,4215082
2024/10/24,41.85,4715553
2024/10/25,41.75,2842850
2024/10/28,41.85,3559440
2024/10/29,41.55,5167137
2024/10/30,41.2,7211338
2024/10/31,40.9,4675700
2024/11/01,41.05,2434332
2024/11/04,41.15,3441957
2024/11/05,41.35,5007375
2024/11/06,41.05,7414926
2024/11/07,41.35,4905298
2024/11/08,41.25,4823856
2024/11/11,40.85,4952556
2024/11/12,40.3,8575488
2024/11/13,40.0,7067603
2024/11/14,39.6,6001074
2024/11/15,40.25,6391399
2024/11/18,40.0,3960781
2024/11/19,40.3,3234422
2024/11/20,40.25,3050161
2024/11/21,40.25,3019458
2024/11/22,39.9,4941608
2024/11/25,39.8,6605052
2024/11/26,40.15,5652149
2024/11/27,40.5,3523154
2024/11/28,40.2,2680842
2024/11/29,40.5,4950893
2024/12/02,40.7,3917254
2024/12/03,41.6,8921160
2024/12/04,41.9,3747105
2024/12/05,42.05,3701811
2024/12/06,42.35,4874738
2024/12/09,43.15,7752414
2024/12/10,42.75,8425143
2024/12/11,42.6,5418079
2024/12/12,42.9,4556045
2024/12/13,42.45,3922337
2024/12/16,41.55,6107028
2024/12/17,41.3,6694676
2024/12/18,41.15,6763986
2024/12/19,40.85,5803098
2024/12/20,40.6,5380303
2024/12/23,41.45,4020775
2024/12/24,41.65,1999516
2024/12/27,41.8,3075686
2024/12/30,41.4,3267427
2024/12/31,41.5,2190255
2025/01/02,41.05,4164402
2025/01/03,41.15,2627730
2025/01/06,41.3,3892729
2025/01/07,41.05,4598793
2025/01/08,40.55,5808409
2025/01/09,40.5,3060041
2025/01/10,40.35,4607674
2025/01/13,39.8,4876407
2025/01/14,39.8,7959404
2025/01/15,39.95,3820469
2025/01/16,39.65,5249583
2025/01/17,40.2,5205136
2025/01/20,40.1,3781726
2025/01/21,40.0,4911349
2025/01/22,40.0,4723515
2025/01/23,39.2,6318628
2025/01/24,39.25,5462191
2025/01/27,39.35,3916809
2025/01/28,39.2,3526282
2025/02/03,38.9,8633008
2025/02/04,39.05,7802445
2025/02/05,38.5,7737619
2025/02/06,38.95,5783386
2025/02/07,39.05,6223466
2025/02/10,39.05,5516254
2025/02/11,38.85,5379071
2025/02/12,39.3,7265102
2025/02/13,39.45,8388177
2025/02/14,39.45,6494095
2025/02/17,39.45,6854019
2025/02/18,39.5,7444959
2025/02/19,39.3,4250874
2025/02/20,39.65,6837096
2025/02/21,39.4,16634720
2025/02/24,39.75,9765737
2025/02/25,39.4,8472915
2025/02/26,39.85,8403775
2025/02/27,39.55,9317106
2025/02/28,38.85,16506111
2025/03/03,39.15,8207200
2025/03/04,38.65,13533894
2025/03/05,47.1,114869859
2025/03/06,51.55,88510645
2025/03/07,49.5,45375844
2025/03/10,49.6,21844267
2025/03/11,49.95,17670627
2025/03/12,49.35,12772119
